order_value_inr,cart_value,discount_amount,shipping_fee,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,order_hour,order_dow,city_tier,item_category,payment_method,time_of_day,device_os,seller_type,warehouse_zone,new_vs_returning_user,actual_rto,rto_risk_score,risk_band
2200,2950,750,0,1.3,1,561,5,2,0.4,20980,2,1,19,3,Tier 1,Home & Kitchen,Prepaid,Evening,Android,Marketplace_3P,South,Returning,0,2.6,Low
560,630,70,0,3.2,1,1391,15,5,0.333,22190,4,2,19,2,Tier 1,Toys,CoD,Evening,Android,Marketplace_3P,East,Returning,0,5.4,Low
930,1190,260,0,30.5,1,1002,9,1,0.111,8220,4,1,15,3,Tier 3,Fashion,CoD,Afternoon,Android,Local_SmallSeller,Central,Returning,1,16.8,Low
4830,6030,1200,0,10.7,1,85,3,0,0.0,3370,1,0,11,1,Tier 2,Home & Kitchen,Prepaid,Morning,iOS,Flagship_1P,West,Returning,1,5.2,Low
8130,9670,1540,0,10.3,1,649,11,0,0.0,29760,7,0,10,3,Tier 2,Mobiles,CoD,Morning,Android,Marketplace_3P,North,Returning,0,11.0,Low
850,890,40,0,10.2,1,1121,11,2,0.182,6700,3,2,1,2,Tier 2,Grocery,Prepaid,Late_Night,Android,Flagship_1P,West,Returning,0,4.0,Low
6730,7590,860,0,5.2,1,685,4,1,0.25,12930,2,1,23,0,Tier 1,Mobiles,Prepaid,Late_Night,Android,Marketplace_3P,South,Returning,0,6.5,Low
29910,32820,2910,0,25.2,1,1061,18,5,0.278,33240,16,5,3,5,Tier 3,Mobiles,CoD,Late_Night,Android,Local_SmallSeller,East,Returning,0,41.6,Medium
11110,12940,1830,0,20.3,1,531,4,1,0.25,9050,2,1,6,2,Tier 1,Mobiles,Prepaid,Morning,iOS,Marketplace_3P,East,Returning,0,7.9,Low
6550,8440,1890,0,15.3,1,988,9,2,0.222,9720,4,2,4,4,Tier 3,Electronics,CoD,Late_Night,Android,Flagship_1P,East,Returning,1,59.0,High
5550,5590,40,0,14.9,1,1444,18,1,0.056,71820,6,1,19,6,Tier 2,Home & Kitchen,CoD,Evening,Android,Local_SmallSeller,East,Returning,0,11.0,Low
310,400,90,40,3.0,1,433,4,2,0.5,8970,3,2,22,2,Tier 1,Books,CoD,Late_Night,Android,Marketplace_3P,West,Returning,0,9.7,Low
310,370,60,60,14.5,1,1129,16,6,0.375,12110,8,6,22,0,Tier 1,Books,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,0,11.0,Low
7700,7880,180,0,13.0,1,735,10,3,0.3,15910,6,3,11,0,Tier 2,Electronics,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,7.6,Low
1350,1770,420,0,4.1,1,328,4,4,1.0,4970,2,2,12,1,Tier 1,Fashion,Prepaid,Afternoon,Android,Local_SmallSeller,East,Returning,0,3.9,Low
550,550,0,0,8.7,2,263,3,0,0.0,6230,1,0,6,1,Tier 1,Fashion,Prepaid,Morning,Android,Marketplace_3P,South,Returning,0,3.0,Low
11690,13630,1940,0,14.7,1,447,10,0,0.0,6930,7,0,6,3,Tier 2,Appliances,Prepaid,Morning,Android,Marketplace_3P,North,Returning,0,6.2,Low
6560,7480,920,0,5.4,1,312,4,0,0.0,21240,2,0,20,6,Tier 2,Electronics,CoD,Evening,iOS,Marketplace_3P,South,Returning,0,13.7,Low
1300,1710,410,0,17.7,3,1079,15,0,0.0,35030,10,0,5,5,Tier 2,Home & Kitchen,CoD,Morning,Android,Flagship_1P,East,Returning,1,8.7,Low
1880,2480,600,0,5.5,1,1443,13,0,0.0,11710,4,0,19,2,Tier 2,Home & Kitchen,CoD,Evening,Android,Local_SmallSeller,West,Returning,0,7.3,Low
5750,7130,1380,0,3.3,1,438,6,2,0.333,11510,4,2,8,6,Tier 2,Mobiles,Prepaid,Morning,Android,Local_SmallSeller,West,Returning,0,7.6,Low
13840,17080,3240,0,4.1,1,47,2,0,0.0,770,1,0,3,6,Tier 1,Appliances,CoD,Late_Night,Android,Marketplace_3P,North,Returning,0,18.5,Low
8980,11950,2970,0,45.7,2,1351,16,1,0.062,2830,11,1,15,0,Tier 3,Electronics,Prepaid,Afternoon,Android,Flagship_1P,South,Returning,0,13.7,Low
560,720,160,0,10.6,2,1397,22,15,0.682,24620,6,3,8,3,Tier 1,Fashion,CoD,Morning,Android,Flagship_1P,Central,Returning,1,11.0,Low
2230,2990,760,0,8.3,1,1108,14,5,0.357,11180,4,2,11,3,Tier 1,Fashion,Prepaid,Morning,iOS,Marketplace_3P,West,Returning,0,2.6,Low
1440,1550,110,0,6.7,3,522,7,1,0.143,14990,2,1,17,4,Tier 1,Home & Kitchen,Prepaid,Evening,Android,Local_SmallSeller,East,Returning,0,3.7,Low
7190,9030,1840,0,8.8,1,1021,12,3,0.25,36090,9,3,4,4,Tier 3,Electronics,Prepaid,Late_Night,Android,Marketplace_3P,South,Returning,0,19.6,Low
6920,8580,1660,0,27.8,1,166,2,1,0.5,1830,1,1,7,4,Tier 3,Appliances,CoD,Morning,iOS,Local_SmallSeller,West,Returning,1,35.0,Medium
1920,2360,440,0,3.6,2,1387,25,2,0.08,29050,22,2,13,4,Tier 1,Home & Kitchen,CoD,Afternoon,Android,Marketplace_3P,Central,Returning,0,4.4,Low
2450,3250,800,0,22.5,1,679,4,1,0.25,4090,1,1,9,0,Tier 2,Home & Kitchen,CoD,Morning,Android,Local_SmallSeller,North,Returning,0,16.8,Low
1310,1380,70,0,2.4,1,399,2,0,0.0,400,1,0,11,3,Tier 1,Grocery,Prepaid,Morning,Android,Local_SmallSeller,East,Returning,1,3.6,Low
1530,2040,510,0,4.1,1,464,4,0,0.0,21420,3,0,22,2,Tier 1,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,South,Returning,0,3.0,Low
680,840,160,0,3.2,1,904,11,3,0.273,39700,5,3,12,3,Tier 3,Beauty,Prepaid,Afternoon,Android,Marketplace_3P,North,Returning,0,3.7,Low
1260,1670,410,0,11.4,1,284,5,3,0.6,15950,4,3,16,4,Tier 1,Fashion,CoD,Afternoon,Android,Flagship_1P,North,Returning,0,11.0,Low
1980,2170,190,0,5.1,2,1016,10,6,0.6,32760,5,5,18,5,Tier 1,Fashion,CoD,Evening,iOS,Marketplace_3P,East,Returning,0,9.7,Low
2140,2670,530,0,5.8,1,1348,13,4,0.308,12050,5,3,11,0,Tier 1,Fashion,CoD,Morning,iOS,Marketplace_3P,South,Returning,0,6.5,Low
8370,10890,2520,0,59.8,1,1126,18,3,0.167,98290,12,3,23,1,Tier 3,Appliances,CoD,Late_Night,Android,Local_SmallSeller,East,Returning,0,39.1,Medium
290,300,10,40,10.1,1,678,10,8,0.8,6750,5,3,8,0,Tier 3,Books,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,7.6,Low
9260,9610,350,0,29.7,1,1203,13,3,0.231,28260,11,3,19,3,Tier 2,Mobiles,Prepaid,Evening,iOS,Marketplace_3P,West,Returning,0,9.7,Low
1490,1620,130,0,59.9,1,274,5,2,0.4,9040,2,1,19,6,Tier 3,Footwear,CoD,Evening,Android,Marketplace_3P,Central,Returning,0,19.6,Low
990,1180,190,0,9.7,1,427,9,1,0.111,15470,6,1,6,4,Tier 3,Footwear,CoD,Morning,Android,Flagship_1P,West,Returning,0,9.7,Low
9810,10600,790,0,5.5,1,472,5,2,0.4,8710,3,2,17,5,Tier 1,Appliances,Prepaid,Evening,Android,Local_SmallSeller,South,Returning,0,7.3,Low
10260,10550,290,0,12.3,1,167,3,0,0.0,8950,1,0,6,4,Tier 2,Mobiles,CoD,Morning,Android,Marketplace_3P,West,Returning,1,19.6,Low
560,660,100,0,6.1,1,222,5,0,0.0,9220,3,0,11,0,Tier 2,Books,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,3.0,Low
840,1000,160,0,41.3,1,1062,15,0,0.0,35070,6,0,14,1,Tier 3,Fashion,Prepaid,Afternoon,Android,Marketplace_3P,Central,Returning,1,5.4,Low
690,830,140,0,9.9,2,1385,12,1,0.083,3950,9,1,23,0,Tier 3,Beauty,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,5.4,Low
1770,2210,440,0,20.7,1,1083,14,6,0.429,1260,8,6,19,0,Tier 2,Home & Kitchen,Prepaid,Evening,Android,Local_SmallSeller,East,Returning,0,7.6,Low
1340,1370,30,0,9.0,1,510,5,2,0.4,7030,3,2,9,3,Tier 1,Footwear,Prepaid,Morning,Android,Local_SmallSeller,Central,Returning,1,3.7,Low
12890,16270,3380,0,7.3,2,935,9,3,0.333,26000,8,3,13,0,Tier 1,Appliances,Prepaid,Afternoon,Android,Flagship_1P,East,Returning,0,5.2,Low
430,520,90,60,4.9,1,998,11,1,0.091,28790,10,1,0,5,Tier 1,Grocery,CoD,Late_Night,Android,Flagship_1P,South,Returning,0,6.7,Low
300,370,70,0,7.4,1,445,5,1,0.2,3350,4,1,15,4,Tier 1,Toys,CoD,Afternoon,Android,Flagship_1P,East,Returning,0,7.3,Low
3140,3810,670,0,36.3,1,234,4,0,0.0,1020,2,0,4,0,Tier 3,Footwear,Prepaid,Late_Night,Android,Flagship_1P,East,Returning,0,11.0,Low
980,1250,270,0,10.7,1,1239,12,5,0.417,15420,5,3,2,4,Tier 3,Toys,Prepaid,Late_Night,iOS,Marketplace_3P,North,Returning,0,7.3,Low
1870,2010,140,0,11.4,1,128,1,0,0.0,2160,1,0,20,5,Tier 1,Fashion,CoD,Evening,Android,Marketplace_3P,North,New,0,14.8,Low
20140,21460,1320,0,2.6,1,408,3,0,0.0,230,2,0,9,4,Tier 2,Mobiles,CoD,Morning,Android,Flagship_1P,West,Returning,0,14.8,Low
800,850,50,0,7.5,1,100,1,0,0.0,1350,1,0,6,3,Tier 3,Fashion,CoD,Morning,Android,Flagship_1P,East,New,0,19.6,Low
11080,13090,2010,0,6.7,3,611,3,0,0.0,3700,2,0,20,3,Tier 2,Electronics,CoD,Evening,Android,Flagship_1P,West,Returning,1,19.6,Low
6790,8850,2060,0,10.5,1,1065,16,3,0.188,22610,12,3,15,5,Tier 2,Mobiles,CoD,Afternoon,Android,Local_SmallSeller,West,Returning,0,15.6,Low
5510,6660,1150,0,6.0,1,1254,15,0,0.0,39010,7,0,22,4,Tier 1,Appliances,Prepaid,Late_Night,Android,Local_SmallSeller,South,Returning,0,3.7,Low
10750,12760,2010,0,15.2,1,35,1,0,0.0,960,1,0,11,0,Tier 2,Electronics,CoD,Morning,Android,Flagship_1P,East,New,0,47.4,High
8650,9350,700,0,4.2,1,734,9,3,0.333,20390,3,3,23,2,Tier 2,Mobiles,CoD,Late_Night,Android,Marketplace_3P,South,Returning,0,19.6,Low
1980,2120,140,0,26.3,2,1048,12,2,0.167,4580,6,2,15,1,Tier 3,Fashion,CoD,Afternoon,Android,Marketplace_3P,Central,Returning,0,17.5,Low
2640,3270,630,0,8.2,1,1439,17,9,0.529,33900,8,6,11,2,Tier 1,Footwear,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,3.7,Low
820,920,100,0,83.8,1,426,8,3,0.375,3410,3,2,4,0,Tier 3,Home & Kitchen,CoD,Late_Night,Android,Local_SmallSeller,Central,Returning,0,30.0,Medium
3270,3850,580,0,26.2,1,252,3,0,0.0,7700,1,0,21,3,Tier 3,Fashion,CoD,Evening,Android,Marketplace_3P,East,Returning,0,19.6,Low
700,890,190,0,5.3,1,1417,11,4,0.364,10790,7,4,7,5,Tier 2,Books,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,3.7,Low
1880,2320,440,0,9.4,1,836,6,2,0.333,5120,2,1,21,3,Tier 2,Fashion,Prepaid,Evening,Android,Local_SmallSeller,South,Returning,0,5.4,Low
6310,6600,290,0,3.2,1,1324,12,2,0.167,12040,8,2,21,5,Tier 1,Electronics,CoD,Evening,Android,Marketplace_3P,South,Returning,0,8.7,Low
1270,1550,280,0,6.6,1,342,5,0,0.0,2650,4,0,7,1,Tier 2,Fashion,CoD,Morning,Android,Local_SmallSeller,South,Returning,0,9.7,Low
960,1260,300,0,21.4,1,365,4,3,0.75,5990,3,3,2,1,Tier 3,Home & Kitchen,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,14.8,Low
6940,7670,730,0,5.4,1,643,7,0,0.0,6460,6,0,7,5,Tier 2,Appliances,CoD,Morning,Android,Local_SmallSeller,Central,Returning,0,13.7,Low
12430,13840,1410,0,5.6,1,1402,12,4,0.333,19990,7,4,22,0,Tier 1,Electronics,CoD,Late_Night,Android,Marketplace_3P,West,Returning,0,19.6,Low
2690,3410,720,0,22.4,1,1355,14,5,0.357,8730,10,5,10,0,Tier 3,Fashion,CoD,Morning,Android,Local_SmallSeller,East,Returning,0,20.2,Medium
15470,20810,5340,0,5.8,1,188,3,2,0.667,1430,2,2,2,0,Tier 3,Mobiles,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,24.7,Medium
2890,3170,280,0,8.4,3,699,12,0,0.0,26510,7,0,8,4,Tier 2,Electronics,CoD,Morning,iOS,Marketplace_3P,East,Returning,0,8.7,Low
13630,15040,1410,0,23.8,3,511,11,1,0.091,4640,6,1,6,1,Tier 2,Electronics,CoD,Morning,Android,Flagship_1P,West,Returning,0,24.7,Medium
1840,2040,200,0,3.3,1,517,5,0,0.0,1410,1,0,6,2,Tier 1,Fashion,CoD,Morning,Android,Flagship_1P,South,Returning,0,7.3,Low
340,420,80,0,8.6,1,171,2,0,0.0,130,1,0,17,4,Tier 2,Grocery,CoD,Evening,Android,Marketplace_3P,Central,Returning,1,8.7,Low
1370,1710,340,0,4.9,1,1441,15,4,0.267,62920,7,4,6,0,Tier 1,Home & Kitchen,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,2.3,Low
18280,23750,5470,0,11.3,1,1121,11,2,0.182,6700,3,2,9,3,Tier 2,Mobiles,CoD,Morning,iOS,Marketplace_3P,West,Returning,0,16.8,Low
3430,4080,650,0,16.2,1,635,8,4,0.5,7580,6,4,7,6,Tier 2,Footwear,Prepaid,Morning,iOS,Local_SmallSeller,North,Returning,0,8.7,Low
2900,3830,930,0,4.8,1,153,5,1,0.2,2690,1,1,20,6,Tier 2,Electronics,CoD,Evening,iOS,Local_SmallSeller,West,Returning,0,13.7,Low
1490,1560,70,0,6.5,1,1269,13,6,0.462,13470,9,5,19,3,Tier 1,Footwear,CoD,Evening,Android,Marketplace_3P,West,Returning,1,7.6,Low
1550,1650,100,0,35.8,1,1210,16,5,0.312,38020,5,4,3,5,Tier 3,Beauty,CoD,Late_Night,Android,Flagship_1P,Central,Returning,0,20.0,Low
1140,1160,20,0,15.4,1,1144,9,1,0.111,39060,8,1,8,3,Tier 1,Grocery,CoD,Morning,Android,Flagship_1P,Central,Returning,0,6.5,Low
4130,4990,860,0,5.7,1,536,5,1,0.2,7500,3,1,8,2,Tier 1,Mobiles,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,3.7,Low
1410,1530,120,0,3.0,1,1341,20,10,0.5,12130,5,5,19,6,Tier 1,Fashion,Prepaid,Evening,Android,Marketplace_3P,Central,Returning,0,2.6,Low
430,460,30,60,2.6,2,315,3,1,0.333,2480,1,1,1,3,Tier 2,Books,Prepaid,Late_Night,Android,Marketplace_3P,North,Returning,0,5.4,Low
1090,1350,260,0,14.6,2,651,7,1,0.143,14690,2,1,11,6,Tier 1,Toys,Prepaid,Morning,Android,Flagship_1P,Central,Returning,0,3.0,Low
580,630,50,0,5.8,1,223,4,1,0.25,14550,3,1,3,5,Tier 1,Grocery,Prepaid,Late_Night,Android,Local_SmallSeller,West,Returning,0,4.0,Low
1620,1960,340,0,8.1,1,452,4,0,0.0,10110,2,0,15,1,Tier 3,Fashion,Prepaid,Afternoon,Android,Marketplace_3P,West,Returning,1,5.2,Low
10690,13910,3220,0,12.5,1,20,1,0,0.0,1020,1,0,5,1,Tier 1,Mobiles,Prepaid,Morning,Android,Marketplace_3P,North,New,0,11.0,Low
370,430,60,40,4.2,2,414,2,0,0.0,3470,1,0,3,6,Tier 1,Books,Prepaid,Late_Night,Android,Flagship_1P,South,Returning,0,3.7,Low
1940,2380,440,0,6.0,1,857,14,3,0.214,22600,10,3,3,5,Tier 2,Electronics,CoD,Late_Night,Android,Marketplace_3P,South,Returning,0,13.7,Low
1530,1970,440,0,15.5,1,871,9,1,0.111,1370,7,1,7,1,Tier 1,Grocery,Prepaid,Morning,iOS,Flagship_1P,South,Returning,0,3.0,Low
1190,1280,90,0,5.3,1,511,11,1,0.091,4640,6,1,16,3,Tier 1,Home & Kitchen,Prepaid,Afternoon,iOS,Marketplace_3P,Central,Returning,0,1.8,Low
340,440,100,60,12.1,1,230,4,0,0.0,4380,2,0,0,5,Tier 2,Toys,Prepaid,Late_Night,Android,Flagship_1P,Central,Returning,0,5.2,Low
10130,10360,230,0,7.6,1,1215,18,4,0.222,19800,7,4,15,6,Tier 2,Mobiles,CoD,Afternoon,iOS,Local_SmallSeller,East,Returning,0,17.5,Low
8100,9430,1330,0,17.9,1,698,4,0,0.0,5880,3,0,20,5,Tier 1,Electronics,CoD,Evening,Android,Local_SmallSeller,East,Returning,0,16.8,Low
4960,6510,1550,0,8.2,1,1,1,0,0.0,890,1,0,14,4,Tier 3,Home & Kitchen,CoD,Afternoon,iOS,Flagship_1P,South,New,0,30.0,Medium
440,540,100,40,8.1,2,608,6,3,0.5,3260,5,3,22,5,Tier 3,Toys,CoD,Late_Night,Android,Local_SmallSeller,Central,Returning,0,24.7,Medium
15690,17360,1670,0,9.3,1,394,6,1,0.167,9530,4,1,15,3,Tier 1,Mobiles,Prepaid,Afternoon,Android,Flagship_1P,North,Returning,0,5.5,Low
740,970,230,0,13.2,1,472,5,2,0.4,8710,3,2,1,0,Tier 2,Grocery,CoD,Late_Night,iOS,Flagship_1P,West,Returning,0,14.8,Low
1550,1760,210,0,18.1,2,829,8,2,0.25,12140,3,2,13,2,Tier 1,Fashion,CoD,Afternoon,Android,Marketplace_3P,East,Returning,0,9.7,Low
1410,1450,40,0,3.1,1,643,10,1,0.1,22240,2,1,5,2,Tier 1,Grocery,Prepaid,Morning,Android,Marketplace_3P,Central,Returning,0,1.8,Low
9580,10240,660,0,7.7,1,218,2,0,0.0,1240,1,0,23,6,Tier 2,Appliances,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,8.7,Low
7950,10390,2440,0,19.2,1,606,6,1,0.167,7350,5,1,22,0,Tier 3,Electronics,CoD,Late_Night,iOS,Local_SmallSeller,East,Returning,1,68.3,High
37050,42090,5040,0,34.3,1,375,6,0,0.0,3740,4,0,5,1,Tier 3,Mobiles,CoD,Morning,Android,Marketplace_3P,South,Returning,0,25.5,Medium
14290,18270,3980,0,26.8,1,1121,12,4,0.333,15300,9,4,12,3,Tier 3,Electronics,Prepaid,Afternoon,iOS,Local_SmallSeller,North,Returning,0,16.8,Low
610,680,70,0,10.5,1,760,10,3,0.3,13100,4,3,16,5,Tier 3,Fashion,CoD,Afternoon,Android,Local_SmallSeller,West,Returning,1,13.7,Low
2770,3140,370,0,16.7,1,6,1,0,0.0,310,1,0,4,6,Tier 3,Fashion,CoD,Late_Night,Android,Marketplace_3P,East,New,1,26.9,Medium
1670,1680,10,0,14.7,1,537,7,0,0.0,24540,2,0,20,5,Tier 3,Footwear,CoD,Evening,Android,Marketplace_3P,West,Returning,0,11.0,Low
4250,4590,340,0,8.2,1,551,5,1,0.2,5680,3,1,4,6,Tier 3,Electronics,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,1,47.4,High
9880,11380,1500,0,20.5,1,681,8,0,0.0,5810,5,0,17,1,Tier 3,Electronics,Prepaid,Evening,Android,Flagship_1P,South,Returning,0,11.0,Low
1920,2290,370,0,34.3,2,702,4,0,0.0,13220,2,0,22,0,Tier 3,Electronics,CoD,Late_Night,Android,Marketplace_3P,North,Returning,1,54.7,High
15730,19080,3350,0,4.6,1,329,4,0,0.0,4520,3,0,8,3,Tier 1,Electronics,Prepaid,Morning,Android,Flagship_1P,East,Returning,0,5.2,Low
13040,17460,4420,0,17.5,1,1014,19,7,0.368,30570,6,3,12,2,Tier 1,Electronics,Prepaid,Afternoon,Android,Marketplace_3P,Central,Returning,0,7.3,Low
340,390,50,0,0.6,2,911,14,2,0.143,28110,5,2,4,5,Tier 1,Books,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,2.3,Low
450,480,30,40,10.6,2,1120,22,1,0.045,42550,15,1,5,2,Tier 1,Grocery,Prepaid,Morning,iOS,Local_SmallSeller,East,Returning,0,2.3,Low
18620,21100,2480,0,9.8,1,1112,14,7,0.5,38750,5,3,18,1,Tier 1,Appliances,Prepaid,Evening,Android,Local_SmallSeller,Central,Returning,0,7.3,Low
890,1040,150,0,7.5,1,561,4,0,0.0,6440,2,0,17,3,Tier 2,Toys,CoD,Evening,Android,Local_SmallSeller,East,Returning,0,9.7,Low
16840,18100,1260,0,3.7,2,613,9,0,0.0,4840,6,0,9,6,Tier 1,Appliances,Prepaid,Morning,Android,Local_SmallSeller,West,Returning,0,5.2,Low
830,1120,290,0,32.2,1,415,3,1,0.333,2520,2,1,12,5,Tier 2,Fashion,CoD,Afternoon,iOS,Marketplace_3P,East,Returning,0,13.7,Low
2090,2230,140,0,18.0,1,655,9,1,0.111,7960,2,1,23,6,Tier 3,Beauty,CoD,Late_Night,iOS,Marketplace_3P,North,Returning,0,19.6,Low
1240,1670,430,0,1.3,1,204,2,0,0.0,2180,1,0,1,5,Tier 2,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,North,Returning,0,5.2,Low
430,560,130,60,17.6,1,1387,23,1,0.043,56170,14,1,13,0,Tier 2,Books,Prepaid,Afternoon,iOS,Flagship_1P,South,Returning,0,3.0,Low
1710,1850,140,0,5.8,1,472,7,4,0.571,3040,6,4,13,5,Tier 1,Home & Kitchen,CoD,Afternoon,Android,Flagship_1P,West,Returning,0,8.7,Low
7030,7400,370,0,6.2,2,510,14,5,0.357,40970,7,5,23,3,Tier 2,Electronics,Prepaid,Late_Night,Android,Flagship_1P,West,Returning,0,7.6,Low
3340,3550,210,0,8.9,1,486,6,3,0.5,20990,5,3,9,4,Tier 1,Footwear,Prepaid,Morning,Android,Flagship_1P,Central,Returning,0,3.9,Low
1120,1320,200,0,5.3,1,613,10,3,0.3,21820,2,1,0,0,Tier 1,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,3.0,Low
2740,3330,590,0,6.2,2,1167,16,8,0.5,18010,4,2,16,5,Tier 3,Fashion,CoD,Afternoon,Android,Marketplace_3P,Central,Returning,0,14.8,Low
1020,1310,290,0,15.6,1,1451,18,6,0.333,23230,6,4,5,3,Tier 2,Beauty,CoD,Morning,iOS,Marketplace_3P,West,Returning,0,8.7,Low
1040,1350,310,0,27.9,1,81,1,0,0.0,580,1,0,15,6,Tier 3,Fashion,CoD,Afternoon,iOS,Marketplace_3P,Central,New,0,26.9,Medium
6500,8240,1740,0,7.6,1,204,5,2,0.4,8240,4,2,16,1,Tier 3,Appliances,CoD,Afternoon,Android,Marketplace_3P,North,Returning,0,19.6,Low
13510,17780,4270,0,12.8,2,146,2,0,0.0,3460,2,0,5,3,Tier 2,Appliances,CoD,Morning,Android,Flagship_1P,West,Returning,0,19.6,Low
4090,5380,1290,0,15.8,1,1477,16,2,0.125,29420,8,2,7,4,Tier 2,Home & Kitchen,Prepaid,Morning,iOS,Marketplace_3P,East,Returning,0,4.4,Low
62410,81070,18660,0,38.1,1,205,9,3,0.333,12110,2,2,4,1,Tier 3,Mobiles,CoD,Late_Night,Android,Flagship_1P,West,Returning,0,35.0,Medium
3180,3340,160,0,24.2,1,74,1,0,0.0,1460,1,0,13,6,Tier 1,Home & Kitchen,Prepaid,Afternoon,iOS,Flagship_1P,East,New,0,7.6,Low
1210,1610,400,0,13.8,1,576,8,0,0.0,8560,4,0,4,6,Tier 1,Footwear,Prepaid,Late_Night,iOS,Marketplace_3P,North,Returning,0,3.0,Low
1100,1250,150,0,12.8,1,971,6,1,0.167,25420,2,1,10,2,Tier 3,Fashion,CoD,Morning,Android,Flagship_1P,West,Returning,0,13.3,Low
2110,2680,570,0,10.8,1,649,5,2,0.4,2470,1,1,11,0,Tier 2,Home & Kitchen,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,5.2,Low
6680,7220,540,0,16.8,1,221,3,0,0.0,2660,2,0,15,4,Tier 1,Electronics,Prepaid,Afternoon,Android,Marketplace_3P,Central,Returning,0,7.3,Low
7540,7980,440,0,31.1,1,390,4,1,0.25,1300,4,1,4,2,Tier 2,Electronics,CoD,Late_Night,iOS,Marketplace_3P,Central,Returning,1,34.0,Medium
350,400,50,40,35.0,2,1383,18,2,0.111,24400,13,2,18,6,Tier 3,Beauty,Prepaid,Evening,Android,Flagship_1P,Central,Returning,0,7.3,Low
930,1090,160,0,8.8,1,24,2,0,0.0,4960,1,0,17,0,Tier 2,Beauty,CoD,Evening,Android,Local_SmallSeller,Central,Returning,0,11.0,Low
370,460,90,60,44.2,1,57,2,1,0.5,1910,1,1,1,1,Tier 3,Beauty,Prepaid,Late_Night,iOS,Marketplace_3P,West,Returning,0,13.7,Low
12850,14010,1160,0,7.2,1,543,6,0,0.0,3010,3,0,10,2,Tier 3,Mobiles,CoD,Morning,Android,Marketplace_3P,Central,Returning,0,19.6,Low
1970,2310,340,0,14.7,1,785,11,0,0.0,17020,9,0,6,3,Tier 1,Fashion,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,1.8,Low
420,530,110,40,9.0,1,106,5,1,0.2,3310,2,1,10,5,Tier 1,Footwear,Prepaid,Morning,Android,Local_SmallSeller,Central,Returning,0,3.7,Low
780,1020,240,0,13.4,2,1378,16,3,0.188,55160,4,3,19,4,Tier 2,Home & Kitchen,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,3.9,Low
490,510,20,60,9.1,1,657,10,4,0.4,14020,2,1,18,3,Tier 2,Books,CoD,Evening,Android,Marketplace_3P,Central,Returning,0,8.7,Low
1590,1900,310,0,58.9,1,341,2,1,0.5,890,1,1,8,2,Tier 3,Beauty,Prepaid,Morning,Android,Marketplace_3P,North,Returning,0,9.7,Low
3450,3660,210,0,12.8,1,1348,12,0,0.0,23350,9,0,19,4,Tier 2,Home & Kitchen,CoD,Evening,Android,Marketplace_3P,South,Returning,0,7.3,Low
290,290,0,60,10.5,2,1393,25,8,0.32,41830,17,8,14,4,Tier 2,Grocery,CoD,Afternoon,Android,Flagship_1P,North,Returning,0,8.7,Low
580,780,200,0,22.6,1,415,3,1,0.333,2520,2,1,16,3,Tier 3,Books,CoD,Afternoon,Android,Marketplace_3P,North,Returning,1,19.6,Low
710,840,130,0,6.5,2,64,2,0,0.0,2820,1,0,4,4,Tier 2,Beauty,CoD,Late_Night,Android,Marketplace_3P,West,Returning,0,13.7,Low
1480,1700,220,0,9.6,1,92,1,1,1.0,490,0,0,11,4,Tier 3,Footwear,Prepaid,Morning,Android,Flagship_1P,West,New,0,11.0,Low
2620,3150,530,0,16.3,1,424,4,0,0.0,5080,2,0,0,1,Tier 3,Electronics,CoD,Late_Night,Android,Marketplace_3P,South,Returning,0,47.4,High
13350,15020,1670,0,11.1,1,674,6,0,0.0,3760,4,0,11,6,Tier 2,Mobiles,CoD,Morning,Android,Marketplace_3P,East,Returning,0,16.8,Low
2310,2920,610,0,22.8,2,837,9,3,0.333,5820,7,3,11,4,Tier 3,Toys,Prepaid,Morning,Android,Flagship_1P,North,Returning,0,8.7,Low
3280,3810,530,0,7.3,1,1178,16,0,0.0,31260,6,0,3,4,Tier 1,Electronics,Prepaid,Late_Night,Android,Marketplace_3P,East,Returning,0,3.6,Low
