order_value_inr,cart_value,discount_amount,shipping_fee,delivery_distance_km,delivery_attempts,user_tenure_days,historical_orders,historical_rto_count,historical_rto_rate,customer_lifetime_value,previous_cod_orders,previous_cod_rtos,order_hour,order_dow,city_tier,item_category,payment_method,time_of_day,device_os,seller_type,warehouse_zone,new_vs_returning_user,actual_rto,rto_risk_score,risk_band,rto_prob,segment,profit_no_intervention,in_top2_cohort,profit_static_fee50,dynamic_intervention,profit_dynamic
800,930,130,0,19.0,1,971,10,5,0.5,26250,3,3,11,6,Tier 1,Fashion,CoD,Morning,Android,Local_SmallSeller,South,Returning,0,13.7,Low,0.13699999999999998,Low RTO / High LTV,77.916,False,77.916,Prepaid_Incentive,87.8622
3140,3330,190,0,7.1,1,219,4,2,0.5,17370,3,2,2,1,Tier 1,Footwear,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,5.2,Low,0.052000000000000005,Returning / Core,365.06879999999995,False,365.06879999999995,Prepaid_Incentive,371.52095999999995
11210,13380,2170,0,20.5,1,858,14,0,0.0,47770,12,0,8,2,Tier 3,Appliances,CoD,Morning,Android,Local_SmallSeller,South,Returning,1,20.2,Medium,0.20199999999999999,High RTO / High LTV,1234.4231999999997,False,1234.4231999999997,Prepaid_Incentive,1295.3504399999997
4300,4590,290,0,54.4,1,879,6,1,0.167,1900,5,1,20,3,Tier 3,Fashion,CoD,Evening,iOS,Flagship_1P,South,Returning,0,19.6,Low,0.196,High RTO / Low LTV,462.688,False,462.688,Prepaid_Incentive,492.0096
7470,9850,2380,0,31.5,1,871,4,2,0.5,4190,3,2,3,1,Tier 2,Home & Kitchen,Prepaid,Late_Night,Android,Marketplace_3P,West,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,841.7643999999999,False,841.7643999999999,Prepaid_Incentive,871.8139799999999
420,540,120,60,22.5,1,991,9,4,0.444,11940,8,4,15,3,Tier 3,Books,CoD,Afternoon,Android,Flagship_1P,South,Returning,1,19.6,Low,0.196,High RTO / Low LTV,27.50719999999999,False,27.50719999999999,Fee_50_COD,63.877536
2850,3100,250,0,4.5,1,129,4,0,0.0,4940,2,0,12,3,Tier 1,Electronics,CoD,Afternoon,Android,Local_SmallSeller,West,Returning,0,9.7,Low,0.09699999999999999,Returning / Core,321.242,False,321.242,Prepaid_Incentive,332.6589
1460,1690,230,0,22.0,1,450,3,2,0.667,4960,2,2,11,4,Tier 2,Beauty,CoD,Morning,Android,Flagship_1P,East,Returning,0,19.6,Low,0.196,High RTO / Low LTV,144.1536,False,144.1536,Prepaid_Incentive,161.22912000000002
12830,17270,4440,0,11.8,1,672,9,2,0.222,11850,5,2,20,3,Tier 2,Electronics,CoD,Evening,Android,Marketplace_3P,East,Returning,0,16.8,Low,0.168,High RTO / Low LTV,1436.5824000000002,False,1436.5824000000002,Prepaid_Incentive,1493.2420800000002
980,1130,150,0,11.0,1,191,1,0,0.0,2380,0,0,2,5,Tier 1,Toys,Prepaid,Late_Night,Android,Flagship_1P,North,New,1,7.3,Low,0.073,New Users,107.43840000000002,False,107.43840000000002,Fee_50_COD,122.29819200000001
490,650,160,60,11.4,2,1194,11,2,0.182,10190,8,2,11,6,Tier 3,Beauty,Prepaid,Morning,Android,Marketplace_3P,Central,Returning,0,5.2,Low,0.052000000000000005,Returning / Core,52.5808,False,52.5808,Fee_50_COD,80.68190400000002
2320,2890,570,0,8.4,1,1255,24,2,0.083,22080,21,2,1,5,Tier 1,Beauty,Prepaid,Late_Night,Android,Flagship_1P,East,Returning,0,2.3,Low,0.023,Low RTO / High LTV,273.9656,False,273.9656,Prepaid_Incentive,276.40452
2580,2590,10,0,20.6,1,1115,8,1,0.125,12610,5,1,22,4,Tier 3,Fashion,CoD,Late_Night,iOS,Marketplace_3P,Central,Returning,0,19.6,Low,0.196,High RTO / Low LTV,269.7728,False,269.7728,Prepaid_Incentive,291.67776000000003
2250,2720,470,0,27.6,1,602,12,1,0.083,22150,6,1,21,6,Tier 2,Home & Kitchen,Prepaid,Evening,Android,Local_SmallSeller,East,Returning,0,5.4,Low,0.054000000000000006,Low RTO / High LTV,259.74,False,259.74,Prepaid_Incentive,265.383
480,640,160,60,3.6,2,214,3,1,0.333,4840,1,1,16,2,Tier 2,Beauty,CoD,Afternoon,Android,Marketplace_3P,South,Returning,0,9.7,Low,0.09699999999999999,Returning / Core,46.0376,False,46.0376,Fee_50_COD,76.41568799999999
600,750,150,0,0.7,2,648,7,0,0.0,1740,2,0,17,5,Tier 1,Grocery,CoD,Evening,Android,Marketplace_3P,East,Returning,0,5.4,Low,0.054000000000000006,Returning / Core,65.304,False,65.304,Fee_50_COD,90.28152
1450,1940,490,0,2.0,2,415,3,1,0.333,2520,2,1,20,1,Tier 1,Fashion,CoD,Evening,Android,Local_SmallSeller,North,Returning,1,9.7,Low,0.09699999999999999,Returning / Core,158.674,False,158.674,Prepaid_Incentive,167.1033
18400,19430,1030,0,3.4,2,817,10,3,0.3,8750,8,3,7,0,Tier 1,Mobiles,CoD,Morning,Android,Local_SmallSeller,North,Returning,0,14.8,Low,0.14800000000000002,High RTO / Low LTV,2084.272,False,2084.272,Prepaid_Incentive,2152.3224
840,1060,220,0,3.2,1,712,8,0,0.0,15730,5,0,12,0,Tier 3,Fashion,CoD,Afternoon,iOS,Marketplace_3P,East,Returning,0,7.9,Low,0.079,Returning / Core,90.24559999999998,False,90.24559999999998,Fee_50_COD,109.450728
1500,1980,480,0,17.9,1,1493,18,3,0.167,9360,6,3,1,2,Tier 3,Grocery,CoD,Late_Night,Android,Local_SmallSeller,South,Returning,1,19.6,Low,0.196,High RTO / Low LTV,148.64,False,148.64,Prepaid_Incentive,165.888
5290,5340,50,0,10.8,1,573,5,1,0.2,28310,4,1,11,3,Tier 1,Home & Kitchen,Prepaid,Morning,Android,Local_SmallSeller,Central,Returning,0,4.4,Low,0.044000000000000004,Low RTO / High LTV,621.0895999999999,False,621.0895999999999,Prepaid_Incentive,628.63032
9920,10050,130,0,27.5,1,510,14,5,0.357,40970,7,5,6,5,Tier 3,Mobiles,CoD,Morning,iOS,Local_SmallSeller,Central,Returning,0,30.0,Medium,0.3,High RTO / High LTV,1041.3600000000001,True,839.4048000000001,Prepaid_Incentive,1123.332
4790,5500,710,0,14.0,3,412,7,1,0.143,7040,4,1,17,1,Tier 3,Home & Kitchen,CoD,Evening,Android,Marketplace_3P,South,Returning,0,19.6,Low,0.196,High RTO / Low LTV,517.6464,False,517.6464,Prepaid_Incentive,549.08088
2610,3090,480,0,2.2,2,501,12,5,0.417,14400,3,2,11,1,Tier 1,Footwear,Prepaid,Morning,Android,Marketplace_3P,North,Returning,0,3.0,Low,0.03,Returning / Core,307.0679999999999,False,307.0679999999999,Prepaid_Incentive,310.4405999999999
420,470,50,40,5.8,1,1209,15,0,0.0,36240,8,0,22,0,Tier 1,Toys,CoD,Late_Night,Android,Marketplace_3P,East,Returning,0,5.4,Low,0.054000000000000006,Low RTO / High LTV,44.09279999999999,False,44.09279999999999,Fee_20_COD,57.056935999999986
10340,12980,2640,0,6.0,1,833,9,2,0.222,10780,6,2,14,3,Tier 2,Mobiles,CoD,Afternoon,Android,Marketplace_3P,South,Returning,0,14.8,Low,0.14800000000000002,High RTO / Low LTV,1164.7871999999998,False,1164.7871999999998,Prepaid_Incentive,1206.5942399999997
6600,7110,510,0,4.3,1,514,7,2,0.286,17580,2,1,10,5,Tier 1,Electronics,Prepaid,Morning,Android,Local_SmallSeller,North,Returning,0,5.4,Low,0.054000000000000006,Returning / Core,772.344,False,772.344,Prepaid_Incentive,783.1548
690,720,30,0,21.2,1,1433,14,3,0.214,34290,8,3,10,3,Tier 1,Fashion,Prepaid,Morning,Android,Flagship_1P,East,Returning,0,3.7,Low,0.037000000000000005,Low RTO / High LTV,78.07879999999999,False,78.07879999999999,Fee_20_COD,86.68763099999997
1700,1830,130,0,13.5,1,1350,14,2,0.143,16840,9,2,16,0,Tier 2,Beauty,CoD,Afternoon,Android,Marketplace_3P,South,Returning,0,7.6,Low,0.076,Returning / Core,191.232,False,191.232,Prepaid_Incentive,198.2544
690,860,170,0,4.0,1,1150,12,1,0.083,2190,9,1,18,0,Tier 1,Fashion,Prepaid,Evening,iOS,Marketplace_3P,North,Returning,0,1.8,Low,0.018000000000000002,Returning / Core,80.50319999999998,False,80.50319999999998,Fee_50_COD,101.15301599999998
1470,1470,0,0,3.5,1,511,4,2,0.5,2870,1,1,13,6,Tier 1,Fashion,Prepaid,Afternoon,Android,Marketplace_3P,North,Returning,0,3.0,Low,0.03,Returning / Core,171.63599999999997,False,171.63599999999997,Prepaid_Incentive,174.25619999999998
5580,7010,1430,0,4.7,1,1475,19,8,0.421,62310,15,8,23,0,Tier 1,Home & Kitchen,Prepaid,Late_Night,iOS,Local_SmallSeller,East,Returning,0,6.2,Low,0.062,Low RTO / High LTV,649.5615999999999,False,649.5615999999999,Prepaid_Incentive,660.5827199999999
6290,7970,1680,0,6.9,1,795,11,0,0.0,10800,7,0,15,1,Tier 1,Electronics,Prepaid,Afternoon,Android,Flagship_1P,North,Returning,0,3.0,Low,0.03,Returning / Core,744.2520000000001,False,744.2520000000001,Prepaid_Incentive,750.0534000000001
500,660,160,0,10.0,2,1485,19,1,0.053,20440,9,1,11,1,Tier 2,Grocery,CoD,Morning,iOS,Flagship_1P,North,Returning,0,7.3,Low,0.073,Returning / Core,51.24,False,51.24,Fee_50_COD,79.9812
1070,1330,260,0,5.8,1,998,17,5,0.294,5510,6,5,13,6,Tier 2,Grocery,CoD,Afternoon,Android,Marketplace_3P,East,Returning,0,7.3,Low,0.073,Returning / Core,117.97559999999997,False,117.97559999999997,Fee_50_COD,130.232628
5320,7180,1860,0,4.8,1,443,7,0,0.0,23240,6,0,15,0,Tier 2,Electronics,CoD,Afternoon,Android,Marketplace_3P,West,Returning,0,9.7,Low,0.09699999999999999,Low RTO / High LTV,608.0583999999999,False,608.0583999999999,Prepaid_Incentive,624.7462799999998
2680,2860,180,0,15.6,2,281,6,1,0.167,28940,2,1,3,1,Tier 2,Fashion,Prepaid,Late_Night,Android,Local_SmallSeller,South,Returning,0,8.7,Low,0.087,Low RTO / High LTV,303.5736,False,303.5736,Prepaid_Incentive,313.48812000000004
13320,14040,720,0,5.6,1,415,3,0,0.0,14970,2,0,0,5,Tier 1,Mobiles,Prepaid,Late_Night,Android,Local_SmallSeller,East,Returning,0,8.7,Low,0.087,Returning / Core,1543.3464000000001,False,1543.3464000000001,Prepaid_Incentive,1573.62588
1550,1970,420,0,9.6,2,1108,10,2,0.2,30560,6,2,7,4,Tier 2,Beauty,CoD,Morning,Android,Marketplace_3P,West,Returning,0,8.7,Low,0.087,Low RTO / High LTV,171.906,False,171.906,Prepaid_Incentive,179.6577
4140,5080,940,0,14.8,1,1304,23,3,0.13,28350,13,3,1,1,Tier 2,Home & Kitchen,CoD,Late_Night,Android,Flagship_1P,South,Returning,1,13.3,Low,0.133,Low RTO / High LTV,461.4752,False,461.4752,Prepaid_Incentive,480.90383999999995
22880,26180,3300,0,81.2,2,189,1,0,0.0,940,0,0,14,6,Tier 3,Mobiles,CoD,Afternoon,Android,Marketplace_3P,South,New,0,68.3,High,0.6829999999999999,High RTO / Low LTV,2052.2183999999997,True,1662.8695919999998,Prepaid_Incentive,2433.5782799999997
4330,5510,1180,0,6.8,1,1408,21,1,0.048,24370,10,1,18,0,Tier 1,Fashion,Prepaid,Evening,iOS,Local_SmallSeller,West,Returning,0,3.0,Low,0.03,Low RTO / High LTV,511.4039999999999,False,511.4039999999999,Prepaid_Incentive,515.9117999999999
970,1160,190,0,6.5,2,1314,17,2,0.118,6730,15,2,18,2,Tier 2,Fashion,Prepaid,Evening,Android,Local_SmallSeller,West,Returning,0,3.9,Low,0.039,Returning / Core,110.9868,False,110.9868,Fee_50_COD,124.389684
5950,6180,230,0,46.4,1,990,13,0,0.0,7230,10,0,3,3,Tier 2,Electronics,CoD,Late_Night,iOS,Local_SmallSeller,North,Returning,1,26.7,Medium,0.267,High RTO / Low LTV,623.754,False,623.754,Prepaid_Incentive,673.3893
640,770,130,0,3.9,1,1265,10,1,0.1,16060,8,1,23,3,Tier 3,Footwear,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,1,11.0,Low,0.11,Returning / Core,62.98399999999998,False,62.98399999999998,Fee_50_COD,89.39591999999999
4620,6090,1470,0,16.2,1,1058,11,3,0.273,7440,7,3,1,6,Tier 3,Footwear,CoD,Late_Night,Android,Marketplace_3P,West,Returning,0,24.7,Medium,0.247,High RTO / Low LTV,484.0544000000001,False,484.0544000000001,Prepaid_Incentive,522.7444800000001
9920,11160,1240,0,6.9,1,720,6,1,0.167,16470,5,1,12,0,Tier 3,Electronics,CoD,Afternoon,Android,Local_SmallSeller,South,Returning,1,28.7,Medium,0.287,High RTO / Low LTV,1047.8184,True,843.4735920000002,Prepaid_Incentive,1126.23828
1910,2570,660,0,31.6,2,366,2,0,0.0,8690,1,0,6,1,Tier 2,Fashion,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,7.6,Low,0.076,Returning / Core,215.79360000000003,False,215.79360000000003,Prepaid_Incentive,223.16712
3380,4370,990,0,9.5,1,797,10,1,0.1,11870,4,1,20,0,Tier 1,Electronics,Prepaid,Evening,Android,Marketplace_3P,East,Returning,0,3.0,Low,0.03,Returning / Core,398.54400000000004,False,398.54400000000004,Prepaid_Incentive,402.4248
1080,1120,40,0,3.4,3,710,9,4,0.444,6770,5,3,10,1,Tier 2,Toys,CoD,Morning,Android,Marketplace_3P,East,Returning,0,11.0,Low,0.11,Returning / Core,113.84800000000003,False,113.84800000000003,Fee_50_COD,127.77624000000003
5500,7330,1830,0,21.3,1,1187,10,2,0.2,5540,3,2,19,4,Tier 2,Electronics,CoD,Evening,iOS,Marketplace_3P,North,Returning,0,14.8,Low,0.14800000000000002,High RTO / Low LTV,612.64,False,612.64,Prepaid_Incentive,638.688
940,1180,240,0,5.6,1,224,5,2,0.4,4800,3,2,13,6,Tier 3,Books,CoD,Afternoon,Android,Marketplace_3P,South,Returning,1,13.3,Low,0.133,Returning / Core,94.49919999999999,False,94.49919999999999,Fee_50_COD,113.57049600000002
790,790,0,0,27.0,1,596,9,1,0.111,26830,3,1,23,4,Tier 3,Beauty,Prepaid,Late_Night,iOS,Marketplace_3P,East,Returning,0,7.6,Low,0.076,Low RTO / High LTV,84.79839999999999,False,84.79839999999999,Fee_20_COD,92.92370799999998
1860,2080,220,0,20.5,1,93,2,0,0.0,3180,1,0,7,6,Tier 3,Home & Kitchen,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,8.7,Low,0.087,Returning / Core,208.02720000000002,False,208.02720000000002,Prepaid_Incentive,216.37224
10910,12260,1350,0,41.9,1,488,8,3,0.375,13460,4,3,20,1,Tier 3,Mobiles,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,16.8,Low,0.168,High RTO / Low LTV,1219.0847999999999,False,1219.0847999999999,Prepaid_Incentive,1268.6481599999997
12730,13480,750,0,41.5,2,928,10,4,0.4,12140,3,2,15,0,Tier 3,Mobiles,CoD,Afternoon,iOS,Marketplace_3P,Central,Returning,0,30.0,Medium,0.3,High RTO / Low LTV,1344.8400000000001,True,1071.0612000000003,Prepaid_Incentive,1445.3580000000002
510,590,80,0,1.9,2,993,13,5,0.385,53660,4,3,13,6,Tier 1,Grocery,Prepaid,Afternoon,Android,Local_SmallSeller,South,Returning,0,2.6,Low,0.026000000000000002,Low RTO / High LTV,58.0696,False,58.0696,Fee_20_COD,69.072202
8330,10150,1820,0,4.2,1,510,8,4,0.5,14470,2,2,14,1,Tier 2,Electronics,CoD,Afternoon,iOS,Marketplace_3P,West,Returning,0,16.8,Low,0.168,High RTO / Low LTV,926.8223999999999,False,926.8223999999999,Prepaid_Incentive,966.8500799999999
1010,1290,280,0,15.7,1,1487,12,1,0.083,14740,10,1,13,4,Tier 2,Fashion,Prepaid,Afternoon,Android,Local_SmallSeller,West,Returning,1,4.0,Low,0.04,Returning / Core,115.58399999999999,False,115.58399999999999,Fee_50_COD,127.86192000000001
1700,2290,590,0,7.6,1,1198,13,2,0.154,42710,4,2,8,0,Tier 2,Footwear,CoD,Morning,Android,Marketplace_3P,East,Returning,0,7.3,Low,0.073,Low RTO / High LTV,191.736,False,191.736,Prepaid_Incentive,198.4812
3270,3860,590,0,8.2,1,1133,17,8,0.471,23060,12,8,21,4,Tier 2,Fashion,CoD,Evening,iOS,Local_SmallSeller,West,Returning,1,13.7,Low,0.13699999999999998,Low RTO / High LTV,360.78040000000004,False,360.78040000000004,Prepaid_Incentive,378.17118000000005
2510,2920,410,0,9.5,1,1241,20,6,0.3,10520,14,6,9,3,Tier 2,Footwear,Prepaid,Morning,Android,Marketplace_3P,Central,Returning,0,3.9,Low,0.039,Returning / Core,293.3844,False,293.3844,Prepaid_Incentive,297.68298000000004
1800,2030,230,0,17.2,1,842,7,1,0.143,11720,6,1,19,3,Tier 3,Fashion,CoD,Evening,Android,Flagship_1P,South,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,192.436,False,192.436,Prepaid_Incentive,205.3962
790,930,140,0,5.9,3,1000,12,5,0.417,21640,5,3,17,1,Tier 3,Beauty,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,6.5,Low,0.065,Low RTO / High LTV,86.24599999999998,False,86.24599999999998,Fee_20_COD,94.09264499999998
630,690,60,0,10.5,3,752,14,1,0.071,6120,11,1,9,6,Tier 2,Footwear,CoD,Morning,iOS,Marketplace_3P,Central,Returning,0,8.7,Low,0.087,Returning / Core,64.7076,False,64.7076,Fee_50_COD,90.33778799999999
1800,2240,440,0,3.2,1,89,3,0,0.0,18560,3,0,7,4,Tier 1,Home & Kitchen,Prepaid,Morning,Android,Marketplace_3P,Central,Returning,0,2.3,Low,0.023,Returning / Core,212.044,False,212.044,Prepaid_Incentive,214.2198
840,920,80,0,20.0,1,921,10,5,0.5,6800,2,1,10,1,Tier 3,Fashion,Prepaid,Morning,Android,Marketplace_3P,South,Returning,0,7.3,Low,0.073,Returning / Core,91.04719999999999,False,91.04719999999999,Fee_50_COD,109.95573599999999
1900,2450,550,0,5.8,1,1275,13,2,0.154,19060,6,2,21,1,Tier 2,Footwear,Prepaid,Evening,Android,Marketplace_3P,South,Returning,0,3.0,Low,0.03,Returning / Core,222.72,False,222.72,Prepaid_Incentive,225.624
5980,7670,1690,0,13.1,1,1,3,1,0.333,5480,1,1,14,0,Tier 2,Electronics,CoD,Afternoon,Android,Marketplace_3P,Central,Returning,1,19.6,Low,0.196,High RTO / Low LTV,651.1167999999999,False,651.1167999999999,Prepaid_Incentive,687.6825599999999
1890,2280,390,0,15.5,1,1110,8,1,0.125,13560,7,1,19,0,Tier 1,Fashion,Prepaid,Evening,Android,Marketplace_3P,East,Returning,0,3.0,Low,0.03,Returning / Core,221.532,False,221.532,Prepaid_Incentive,224.42940000000002
1140,1390,250,0,2.7,1,719,7,4,0.571,19620,2,1,22,0,Tier 2,Footwear,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,116.85280000000002,False,116.85280000000002,Fee_50_COD,130.53326400000003
580,780,200,0,11.2,1,239,3,0,0.0,3300,2,0,15,3,Tier 2,Footwear,Prepaid,Afternoon,Android,Marketplace_3P,South,Returning,0,3.9,Low,0.039,Returning / Core,64.7952,False,64.7952,Fee_50_COD,89.672976
6520,7090,570,0,9.0,2,204,3,1,0.333,4390,2,1,22,0,Tier 1,Mobiles,CoD,Late_Night,iOS,Marketplace_3P,North,Returning,0,19.6,Low,0.196,High RTO / Low LTV,711.6831999999998,False,711.6831999999998,Prepaid_Incentive,750.5774399999999
500,590,90,0,7.5,1,807,8,2,0.25,6010,3,2,5,1,Tier 1,Grocery,CoD,Morning,Android,Local_SmallSeller,North,Returning,0,7.6,Low,0.076,Returning / Core,50.88,False,50.88,Fee_50_COD,79.7544
1360,1820,460,0,4.3,1,125,2,1,0.5,6830,1,1,6,2,Tier 1,Books,Prepaid,Morning,iOS,Local_SmallSeller,South,Returning,0,3.7,Low,0.037000000000000005,Returning / Core,157.48719999999997,False,157.48719999999997,Prepaid_Incentive,160.62923999999998
1940,2260,320,0,12.7,2,222,4,1,0.25,3770,1,1,10,1,Tier 2,Fashion,Prepaid,Morning,iOS,Flagship_1P,South,Returning,0,5.5,Low,0.055,Returning / Core,223.032,False,223.032,Prepaid_Incentive,228.4044
10900,11490,590,0,3.0,1,15,1,0,0.0,290,1,0,7,1,Tier 1,Mobiles,Prepaid,Morning,iOS,Flagship_1P,North,New,1,8.7,Low,0.087,New Users,1261.368,False,1261.368,Prepaid_Incentive,1287.0156
170,220,50,60,7.1,1,1392,16,3,0.188,41120,12,3,9,3,Tier 1,Books,Prepaid,Morning,Android,Flagship_1P,East,Returning,0,1.8,Low,0.018000000000000002,Low RTO / High LTV,18.4776,False,18.4776,Fee_20_COD,34.347662
740,950,210,0,4.2,1,655,8,0,0.0,23090,6,0,21,1,Tier 2,Fashion,Prepaid,Evening,Android,Marketplace_3P,West,Returning,0,3.7,Low,0.037000000000000005,Low RTO / High LTV,84.00479999999999,False,84.00479999999999,Fee_20_COD,91.87787599999997
11900,15020,3120,0,16.2,1,802,11,2,0.182,4650,8,2,6,0,Tier 3,Mobiles,CoD,Morning,Android,Marketplace_3P,South,Returning,1,20.2,Medium,0.20199999999999999,High RTO / Low LTV,1311.648,True,1038.19824,Prepaid_Incentive,1375.6416
20210,27170,6960,0,7.8,1,305,4,0,0.0,3290,3,0,2,2,Tier 1,Appliances,CoD,Late_Night,Android,Marketplace_3P,Central,Returning,0,17.5,Low,0.175,High RTO / Low LTV,2266.23,False,2266.23,Prepaid_Incentive,2353.6634999999997
420,510,90,0,18.8,1,966,11,0,0.0,18000,7,0,19,1,Tier 3,Beauty,CoD,Evening,Android,Marketplace_3P,West,Returning,0,9.7,Low,0.09699999999999999,Returning / Core,39.07039999999999,False,39.07039999999999,Fee_50_COD,71.162352
6340,6640,300,0,14.4,1,733,9,0,0.0,9290,4,0,13,4,Tier 2,Mobiles,CoD,Afternoon,Android,Marketplace_3P,West,Returning,0,12.3,Low,0.12300000000000001,Returning / Core,717.3072000000001,False,717.3072000000001,Prepaid_Incentive,741.22824
3950,4890,940,0,22.7,2,401,8,5,0.625,8670,4,2,7,0,Tier 2,Mobiles,Prepaid,Morning,Android,Marketplace_3P,East,Returning,0,11.0,Low,0.11,Returning / Core,445.62,False,445.62,Prepaid_Incentive,461.229
13180,16130,2950,0,7.7,1,355,2,0,0.0,820,1,0,15,6,Tier 1,Mobiles,Prepaid,Afternoon,iOS,Local_SmallSeller,East,Returning,0,8.7,Low,0.087,Returning / Core,1527.0336000000002,False,1527.0336000000002,Prepaid_Incentive,1557.0451200000002
10720,12440,1720,0,1.0,1,1022,12,2,0.167,15210,9,2,12,1,Tier 2,Mobiles,CoD,Afternoon,iOS,Local_SmallSeller,South,Returning,0,14.8,Low,0.14800000000000002,High RTO / Low LTV,1208.1376,False,1208.1376,Prepaid_Incentive,1251.18192
1300,1390,90,0,12.3,1,971,9,4,0.444,1830,4,4,21,5,Tier 1,Beauty,Prepaid,Evening,iOS,Flagship_1P,East,Returning,0,3.9,Low,0.039,Returning / Core,150.072,False,150.072,Fee_50_COD,153.76536000000002
7250,7710,460,0,10.7,2,632,13,1,0.077,39570,5,1,15,3,Tier 2,Electronics,CoD,Afternoon,Android,Marketplace_3P,Central,Returning,0,13.7,Low,0.13699999999999998,Low RTO / High LTV,816.57,False,816.57,Prepaid_Incentive,845.9565
810,890,80,0,11.6,1,1031,13,2,0.154,2500,4,2,17,6,Tier 1,Grocery,Prepaid,Evening,Android,Marketplace_3P,Central,Returning,0,2.3,Low,0.023,Returning / Core,94.1548,False,94.1548,Fee_50_COD,111.481524
2410,2630,220,0,6.2,2,1132,15,2,0.133,92880,5,2,2,1,Tier 2,Fashion,Prepaid,Late_Night,Android,Marketplace_3P,Central,Returning,0,3.9,Low,0.039,Low RTO / High LTV,281.54040000000003,False,281.54040000000003,Prepaid_Incentive,285.75318000000004
1680,1890,210,0,5.2,1,1206,21,5,0.238,11050,15,5,23,2,Tier 2,Fashion,CoD,Late_Night,Android,Marketplace_3P,West,Returning,0,8.7,Low,0.087,Returning / Core,187.05359999999996,False,187.05359999999996,Prepaid_Incentive,195.05411999999995
590,720,130,0,4.5,1,696,7,2,0.286,5670,5,2,15,0,Tier 1,Grocery,CoD,Afternoon,Android,Marketplace_3P,South,Returning,0,5.4,Low,0.054000000000000006,Returning / Core,64.1256,False,64.1256,Fee_50_COD,89.39512800000003
13560,17970,4410,0,7.2,3,712,5,0,0.0,10940,3,0,21,0,Tier 1,Electronics,Prepaid,Evening,Android,Local_SmallSeller,Central,Returning,0,7.6,Low,0.076,Returning / Core,1578.3775999999998,False,1578.3775999999998,Prepaid_Incentive,1605.2299199999998
1100,1160,60,0,13.6,1,600,10,3,0.3,16620,5,3,2,3,Tier 2,Fashion,CoD,Late_Night,iOS,Marketplace_3P,Central,Returning,0,12.3,Low,0.12300000000000001,Returning / Core,114.288,False,114.288,Fee_50_COD,128.34143999999998
3650,4340,690,0,12.6,1,1402,13,5,0.385,5060,5,3,19,6,Tier 1,Electronics,CoD,Evening,Android,Local_SmallSeller,Central,Returning,0,11.0,Low,0.11,Returning / Core,410.94,False,410.94,Prepaid_Incentive,425.823
860,930,70,0,26.6,1,354,6,0,0.0,2160,3,0,14,2,Tier 3,Beauty,Prepaid,Afternoon,Android,Marketplace_3P,West,Returning,0,6.7,Low,0.067,Returning / Core,94.19519999999999,False,94.19519999999999,Fee_50_COD,112.22697600000001
1800,1970,170,0,14.2,2,815,13,0,0.0,42330,10,0,18,5,Tier 3,Grocery,CoD,Evening,Android,Marketplace_3P,North,Returning,0,9.7,Low,0.09699999999999999,Low RTO / High LTV,199.316,False,199.316,Prepaid_Incentive,208.4922
290,330,40,60,12.6,1,510,14,5,0.357,40970,7,5,16,2,Tier 2,Books,Prepaid,Afternoon,Android,Local_SmallSeller,South,Returning,0,5.2,Low,0.052000000000000005,Low RTO / High LTV,28.996799999999997,False,28.996799999999997,Fee_20_COD,43.81391599999999
12050,15180,3130,0,12.1,1,1365,20,3,0.15,21170,16,3,3,1,Tier 3,Mobiles,CoD,Late_Night,Android,Marketplace_3P,South,Returning,0,26.9,Medium,0.26899999999999996,High RTO / High LTV,1289.442,True,1026.3684600000001,Prepaid_Incentive,1375.5489
2890,3770,880,0,6.1,2,1256,12,1,0.083,7460,6,1,6,6,Tier 2,Footwear,Prepaid,Morning,Android,Marketplace_3P,West,Returning,0,3.0,Low,0.03,Returning / Core,340.33199999999994,False,340.33199999999994,Prepaid_Incentive,343.88939999999997
2650,2870,220,0,1.4,1,1479,20,4,0.2,87110,12,4,19,5,Tier 1,Fashion,Prepaid,Evening,Android,Flagship_1P,North,Returning,0,1.8,Low,0.018000000000000002,Low RTO / High LTV,314.292,False,314.292,Prepaid_Incentive,316.3314
440,480,40,60,5.7,2,1143,16,1,0.062,10350,6,1,14,4,Tier 3,Toys,CoD,Afternoon,Android,Local_SmallSeller,Central,Returning,0,9.7,Low,0.09699999999999999,Returning / Core,41.39280000000001,False,41.39280000000001,Fee_50_COD,72.91346400000002
1030,1210,180,0,25.0,1,602,9,0,0.0,6330,3,0,18,2,Tier 3,Fashion,CoD,Evening,Android,Marketplace_3P,East,Returning,0,13.7,Low,0.13699999999999998,Returning / Core,104.25560000000002,False,104.25560000000002,Fee_50_COD,121.01302800000002
1090,1210,120,0,82.8,1,806,11,0,0.0,4340,5,0,9,4,Tier 3,Home & Kitchen,CoD,Morning,iOS,Marketplace_3P,Central,Returning,1,11.0,Low,0.11,Returning / Core,115.00400000000002,False,115.00400000000002,Fee_50_COD,128.64852000000002
